"filename", "language", "HTML", "JavaScript JSX", "XML", "JSON with Comments", "JavaScript", "CSS", "JSON", "Markdown", "comment", "blank", "total"
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 9
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/jsconfig.json", "JSON with Comments", 0, 0, 0, 8, 0, 0, 0, 0, 1, 1, 10
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 5036, 0, 0, 1, 5037
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/package.json", "JSON", 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 39
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/public/vite.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/App.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/App.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/assets/react.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/admin/Admin.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/bookings/BookingForm.jsx", "JavaScript JSX", 0, 76, 0, 0, 0, 0, 0, 0, 0, 14, 90
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/common/Header.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/common/HotelService.jsx", "JavaScript JSX", 0, 85, 0, 0, 0, 0, 0, 0, 0, 3, 88
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/common/Parallax.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/common/RoomCarousel.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 0, 7, 74
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/common/RoomFilter.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 1, 6, 38
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/common/RoomPaginator.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/common/RoomTypeSelector.jsx", "JavaScript JSX", 0, 66, 0, 0, 0, 0, 0, 0, 0, 7, 73
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/home/Home.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/layout/Footer.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/layout/MainHeader.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/layout/NavBar.jsx", "JavaScript JSX", 0, 79, 0, 0, 0, 0, 0, 0, 5, 5, 89
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/room/AddRoom.jsx", "JavaScript JSX", 0, 120, 0, 0, 0, 0, 0, 0, 1, 16, 137
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/room/EditRoom.jsx", "JavaScript JSX", 0, 132, 0, 0, 0, 0, 0, 0, 1, 24, 157
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/room/ExistingRooms.jsx", "JavaScript JSX", 0, 132, 0, 0, 0, 0, 0, 0, 0, 15, 147
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/room/Room.jsx", "JavaScript JSX", 0, 61, 0, 0, 0, 0, 0, 0, 0, 10, 71
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/room/RoomCard.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/room/RoomListing.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/components/utils/ApiFunctions.js", "JavaScript", 0, 0, 0, 0, 96, 0, 0, 0, 14, 12, 122
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/index.css", "CSS", 0, 0, 0, 0, 0, 191, 0, 0, 4, 34, 229
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/src/main.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/vincent/Documents/main/learn/hotel-booking/client/stanley-hotel/vite.config.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 1, 2, 8
"Total", "-", 13, 1042, 2, 8, 122, 228, 5074, 5, 28, 199, 6721